tenure,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,total_votes,margin_votes,margin_pct,competitiveness
17th Lok Sabha,NCT OF Delhi,NORTH EAST DELHI,MANOJ TIWARI,Bharatiya Janata Party,787799,SHEILA DIKSHIT,Indian National Congress,421697,1461475,366102,25.05,safe
17th Lok Sabha,NCT OF Delhi,NORTH WEST DELHI,HANS RAJ HANS,Bharatiya Janata Party,848663,GUGAN SINGH,Aam Aadmi Party,294766,1402962,553897,39.48,safe
17th Lok Sabha,NCT OF Delhi,SOUTH DELHI,RAMESH BIDHURI,Bharatiya Janata Party,687014,RAGHAV CHADHA,Aam Aadmi Party,319971,1214222,367043,30.23,safe
17th Lok Sabha,NCT OF Delhi,WEST DELHI,PARVESH SAHIB SINGH VERMA,Bharatiya Janata Party,865648,MAHABAL MISHRA,Indian National Congress,287162,1441601,578486,40.13,safe
17th Lok Sabha,Nagaland,Nagaland,Tokheho Yepthomi,Nationalist Democratic Progressive Party,500510,K L Chishi,Indian National Congress,484166,1006357,16344,1.62,marginal
17th Lok Sabha,Odisha,Aska,Pramila Bisoyi,Biju Janata Dal,552749,Anita Subhadarshini,Bharatiya Janata Party,348042,1013862,204707,20.19,safe
17th Lok Sabha,Odisha,Balasore,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,483858,RABINDRA KUMAR JENA,Biju Janata Dal,470902,1157871,12956,1.12,marginal
17th Lok Sabha,Odisha,Bargarh,Suresh Pujari,Bharatiya Janata Party,581245,Prasanna Acharya,Biju Janata Dal,517306,1247912,63939,5.12,competitive
17th Lok Sabha,Odisha,Berhampur,CHANDRA SEKHAR SAHU,Biju Janata Dal,443843,BHRUGU BAXIPATRA,Bharatiya Janata Party,348999,989910,94844,9.58,competitive
17th Lok Sabha,Odisha,Bhadrak,MANJULATA MANDAL,Biju Janata Dal,512305,AVIMANYU SETHI,Bharatiya Janata Party,483502,1223754,28803,2.35,marginal
17th Lok Sabha,Odisha,Bhubaneswar,APARAJITA SARANGI,Bharatiya Janata Party,486991,Arup Mohan Patnaik,Biju Janata Dal,463152,1005215,23839,2.37,marginal
17th Lok Sabha,Odisha,Bolangir,Sangeeta Kumari Singh Deo,Bharatiya Janata Party,498086,Kalikesh Narayan Singh Deo,Biju Janata Dal,478570,1306705,19516,1.49,marginal
17th Lok Sabha,Odisha,Cuttack,BHARTRUHARI MAHTAB,Biju Janata Dal,524592,PRAKASH MISHRA,Bharatiya Janata Party,403391,1059490,121201,11.44,competitive
17th Lok Sabha,Odisha,Dhenkanal,MAHESH SAHOO,Biju Janata Dal,522884,RUDRA NARAYAN PANY,Bharatiya Janata Party,487472,1131522,35412,3.13,marginal
17th Lok Sabha,Odisha,Jagatsinghpur,RAJASHREE MALLICK,Biju Janata Dal,619985,BIBHU PRASAD TARAI,Bharatiya Janata Party,348330,1229190,271655,22.1,safe
17th Lok Sabha,Odisha,Jajpur,SARMISTHA SETHI,Biju Janata Dal,544020,AMIYA KANTA MALLICK,Bharatiya Janata Party,442327,1092084,101693,9.31,competitive
17th Lok Sabha,Odisha,Kalahandi,BASANTA KUMAR PANDA,Bharatiya Janata Party,433074,PUSPENDRA SINGH DEO,Biju Janata Dal,406260,1228292,26814,2.18,marginal
17th Lok Sabha,Odisha,Kandhamal,ACHYUTANANDA SAMANTA,Biju Janata Dal,461679,Mahameghabahan Aira Kharabela Swain,Bharatiya Janata Party,312463,941985,149216,15.84,safe
17th Lok Sabha,Odisha,Kendrapara,Anubhav Mohanty,Biju Janata Dal,628939,BAIJAYANT PANDA,Bharatiya Janata Party,476355,1236466,152584,12.34,competitive
17th Lok Sabha,Odisha,Keonjhar,Chandrani Murmu,Biju Janata Dal,526359,Ananta Nayak,Bharatiya Janata Party,460156,1176292,66203,5.63,competitive
17th Lok Sabha,Odisha,Koraput,SAPTAGIRI SANKAR ULAKA,Indian National Congress,371129,KAUSALYA HIKAKA,Biju Janata Dal,367516,1080161,3613,0.33,marginal
17th Lok Sabha,Odisha,Mayurbhanj,BISHWESWAR TUDU,Bharatiya Janata Party,483812,DR DEBASHIS MARNDI,Biju Janata Dal,458556,1150357,25256,2.2,marginal
17th Lok Sabha,Odisha,Nabarangpur,RAMESH CHANDRA MAJHI,Biju Janata Dal,392504,PRADEEP KUMAR MAJHI,Indian National Congress,350870,1159700,41634,3.59,marginal
17th Lok Sabha,Odisha,Puri,PINAKI MISRA,Biju Janata Dal,538321,Dr Sambit Patra,Bharatiya Janata Party,526607,1135620,11714,1.03,marginal
17th Lok Sabha,Odisha,Sambalpur,NITESH GANGA DEB,Bharatiya Janata Party,473770,NALINI KANTA PRADHAN,Biju Janata Dal,464608,1124455,9162,0.81,marginal
17th Lok Sabha,Odisha,Sundargarh,Jual Oram,Bharatiya Janata Party,500056,Sunita Biswal,Biju Janata Dal,276991,1100129,223065,20.28,safe
17th Lok Sabha,Puducherry,Puducherry,Ve. VAITHILINGAM,Indian National Congress,444981,Dr. NARAYANASAMY KESAVAN,All India N.R. Congress,247956,790760,197025,24.92,safe
17th Lok Sabha,Punjab,Amritsar,GURJEET SINGH AUJLA,Indian National Congress,445032,HARDEEP SINGH PURI,Bharatiya Janata Party,345406,859513,99626,11.59,competitive
17th Lok Sabha,Punjab,Anandpur Sahib,Manish Tewari,Indian National Congress,428045,Professor Prem Singh Chandumajra,Shiromani Akali Dal,381161,1081727,46884,4.33,marginal
17th Lok Sabha,Punjab,Bathinda,Harsimrat Kaur Badal,Shiromani Akali Dal,492824,Amrinder Singh Raja Warring,Indian National Congress,471052,1200810,21772,1.81,marginal
17th Lok Sabha,Punjab,Faridkot,Mohammad Sadique,Indian National Congress,419065,Gulzar Singh Ranike,Shiromani Akali Dal,335809,974947,83256,8.54,competitive
17th Lok Sabha,Punjab,Fatehgarh Sahib,AMAR SINGH,Indian National Congress,411651,DARBARA SINGH GURU,Shiromani Akali Dal,317753,985948,93898,9.52,competitive
17th Lok Sabha,Punjab,Firozpur,SUKHBIR SINGH BADAL,Shiromani Akali Dal,633427,SHER SINGH GHUBAYA,Indian National Congress,434577,1172033,198850,16.97,safe
17th Lok Sabha,Punjab,Gurdaspur,SUNNY DEOL,Bharatiya Janata Party,558719,SUNIL JAKHAR,Indian National Congress,476260,1103887,82459,7.47,competitive
17th Lok Sabha,Punjab,Hoshiarpur,SOM PARKASH,Bharatiya Janata Party,421320,Dr. RAJ KUMAR CHABBEWAL,Indian National Congress,372790,990791,48530,4.9,marginal
17th Lok Sabha,Punjab,Jalandhar,Santokh Singh Chaudhary,Indian National Congress,385712,Charanjit Singh Atwal,Shiromani Akali Dal,366221,1018998,19491,1.91,marginal
17th Lok Sabha,Punjab,Khadoor Sahib,JASBIR SINGH GILL (DIMPA),Indian National Congress,459710,BIBI JAGIR KAUR,Shiromani Akali Dal,319137,1046032,140573,13.44,competitive
17th Lok Sabha,Punjab,Ludhiana,RAVNEET SINGH BITTU,Indian National Congress,383795,SIMARJEET SINGH BAINS,Lok Insaaf Party,307423,1046955,76372,7.29,competitive
17th Lok Sabha,Punjab,Patiala,Preneet Kaur,Indian National Congress,532027,Surjit Singh Rakhra,Shiromani Akali Dal,369309,1177903,162718,13.81,competitive
17th Lok Sabha,Punjab,Sangrur,BHAGWANT MANN,Aam Aadmi Party,413561,KEWAL SINGH DHILLON,Indian National Congress,303350,1105888,110211,9.97,competitive
17th Lok Sabha,Rajasthan,Ajmer,Bhagirath Chaudhary,Bharatiya Janata Party,815076,Riju Jhunjhunwala,Indian National Congress,398652,1262214,416424,32.99,safe
17th Lok Sabha,Rajasthan,Alwar,Balak Nath,Bharatiya Janata Party,760201,Bhanwar Jitendra Singh,Indian National Congress,430230,1265674,329971,26.07,safe
17th Lok Sabha,Rajasthan,BHARATPUR,RANJEETA KOLI,Bharatiya Janata Party,707992,ABHIJEET KUMAR JATAV,Indian National Congress,389593,1146797,318399,27.76,safe
17th Lok Sabha,Rajasthan,Banswara,KANAKMAL KATARA,Bharatiya Janata Party,711709,TARACHAND BHAGORA,Indian National Congress,406245,1439671,305464,21.22,safe
17th Lok Sabha,Rajasthan,Barmer,KAILASH CHOUDHARY,Bharatiya Janata Party,846526,MANVENDRA SINGH,Indian National Congress,522718,1422271,323808,22.77,safe
17th Lok Sabha,Rajasthan,Bhilwara,SUBHASH CHANDRA BAHERIA,Bharatiya Janata Party,938160,RAM PAL SHARMA,Indian National Congress,326160,1310513,612000,46.7,safe
17th Lok Sabha,Rajasthan,Bikaner (SC),ARJUN RAM MEGHWAL,Bharatiya Janata Party,657743,MADAN GOPAL MEGHWAL,Indian National Congress,393662,1099598,264081,24.02,safe
17th Lok Sabha,Rajasthan,Chittorgarh,Chandra Prakash Joshi,Bharatiya Janata Party,982942,Gopal Singh Shekhawat,Indian National Congress,406695,1458760,576247,39.5,safe
17th Lok Sabha,Rajasthan,Churu,RAHUL KASWAN,Bharatiya Janata Party,792999,RAFIQUE MANDELIA,Indian National Congress,458597,1328422,334402,25.17,safe
17th Lok Sabha,Rajasthan,Dausa,Jaskaur Meena,Bharatiya Janata Party,548733,Savita Meena,Indian National Congress,470289,1062834,78444,7.38,competitive
17th Lok Sabha,Rajasthan,Ganganagar,NIHAL CHAND,Bharatiya Janata Party,897177,BHARAT RAM MEGHWAL,Indian National Congress,490199,1451765,406978,28.03,safe
17th Lok Sabha,Rajasthan,JHALAWAR-BARAN,DUSHYANT SINGH,Bharatiya Janata Party,887400,PRAMOD SHARMA,Indian National Congress,433472,1369868,453928,33.14,safe
17th Lok Sabha,Rajasthan,Jaipur,Ramcharan Bohra,Bharatiya Janata Party,924065,Jyoti Khandelwal,Indian National Congress,493439,1456404,430626,29.57,safe
17th Lok Sabha,Rajasthan,Jaipur Rural,COL. RAJYAVARDHAN RATHORE,Bharatiya Janata Party,820132,KRISHNA POONIA,Indian National Congress,426961,1276693,393171,30.8,safe
17th Lok Sabha,Rajasthan,Jalore,Devaji Patel,Bharatiya Janata Party,772833,Ratan Devasi,Indian National Congress,511723,1361619,261110,19.18,safe
17th Lok Sabha,Rajasthan,Jhunjhunu,NARENDRA KUMAR,Bharatiya Janata Party,738163,SHARWAN KUMAR S/O GOKAL RAM,Indian National Congress,435616,1198927,302547,25.23,safe
17th Lok Sabha,Rajasthan,Jodhpur,Gajendra Singh Shekhawat,Bharatiya Janata Party,788888,Vaibhav Gehlot,Indian National Congress,514448,1346243,274440,20.39,safe
17th Lok Sabha,Rajasthan,KARAULI-DHOLPUR,MANOJ RAJORIA,Bharatiya Janata Party,526443,SANJAY KUMAR,Indian National Congress,428761,998044,97682,9.79,competitive
17th Lok Sabha,Rajasthan,Kota,OM BIRLA,Bharatiya Janata Party,800051,RAMNARAIN MEENA,Indian National Congress,520374,1367034,279677,20.46,safe
17th Lok Sabha,Rajasthan,Nagaur,HANUMAN BENIWAL,Rashtriya Loktantrik Party,660051,DR. JYOTI MIRDHA,Indian National Congress,478791,1203124,181260,15.07,safe
17th Lok Sabha,Rajasthan,Pali,P. P. CHAUDHARY,Bharatiya Janata Party,900149,BADRIRAM JAKHAR,Indian National Congress,418552,1359799,481597,35.42,safe
17th Lok Sabha,Rajasthan,Rajsamand,Diya Kumari,Bharatiya Janata Party,863039,Devkinandan (Kaka),Indian National Congress,311123,1239845,551916,44.51,safe
17th Lok Sabha,Rajasthan,Sikar,Sumedhanand Saraswati,Bharatiya Janata Party,772104,Subhash Maharia,Indian National Congress,474948,1326969,297156,22.39,safe
17th Lok Sabha,Rajasthan,TONK-SAWAI MADHOPUR,Sukhbir Singh Jaunapuria,Bharatiya Janata Party,644319,Namonarayan,Indian National Congress,533028,1233458,111291,9.02,competitive
17th Lok Sabha,Rajasthan,Udaipur,ARJUNLAL MEENA,Bharatiya Janata Party,871548,RAGHUVIR SINGH MEENA,Indian National Congress,433634,1454518,437914,30.11,safe
17th Lok Sabha,Sikkim,Sikkim,INDRA HANG SUBBA,Sikkim Krantikari Morcha,166922,DEK BAHADUR KATWAL,Sikkim Democratic Front,154489,351746,12433,3.53,marginal
17th Lok Sabha,Tamil Nadu,Arakkonam,S. JAGATHRAKSHAKAN,Dravida Munnetra Kazhagam,672190,A.K. MOORTHY,Pattali Makkal Katchi,343234,1178060,328956,27.92,safe
17th Lok Sabha,Tamil Nadu,Arani,VISHNU PRASAD M K,Indian National Congress,617760,ELUMALAI V,All India Anna Dravida Munnetra Kazhagam,386954,1143907,230806,20.18,safe
17th Lok Sabha,Tamil Nadu,Chennai North,Dr. KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,590986,ALAGAAPURAM R. MOHANRAJ,Desiya Murpokku Dravida Kazhagam,129468,955545,461518,48.3,safe
17th Lok Sabha,Tamil Nadu,Chennai South,T.SUMATHY (A) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,564872,Dr.J.JAYAVARDHAN,All India Anna Dravida Munnetra Kazhagam,302649,1125857,262223,23.29,safe
17th Lok Sabha,Tamil Nadu,Chennai central,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,448911,SAM PAUL. S.R.,Pattali Makkal Katchi,147391,785450,301520,38.39,safe
17th Lok Sabha,Tamil Nadu,Chidambaram,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,500229,CHANDRASEKAR P,All India Anna Dravida Munnetra Kazhagam,497010,1153192,3219,0.28,marginal
17th Lok Sabha,Tamil Nadu,Coimbatore,NATARAJAN. P.R,Communist Party of India  (Marxist),571150,RADHAKRISHNAN. C.P,Bharatiya Janata Party,392007,1250885,179143,14.32,competitive
17th Lok Sabha,Tamil Nadu,Cuddalore,T. R. V .S. RAMESH,Dravida Munnetra Kazhagam,522160,Dr. R. GOVINDASAMY,Pattali Makkal Katchi,378177,1043202,143983,13.8,competitive
17th Lok Sabha,Tamil Nadu,Dharmapuri,DNV SENTHILKUMAR. S.,Dravida Munnetra Kazhagam,574988,ANBUMANI RAMADOSS,Pattali Makkal Katchi,504235,1223205,70753,5.78,competitive
17th Lok Sabha,Tamil Nadu,Dindigul,"VELUSAMY, P.",Dravida Munnetra Kazhagam,746523,"JOTHIMUTHU, K.",Pattali Makkal Katchi,207551,1160046,538972,46.46,safe
17th Lok Sabha,Tamil Nadu,Erode,GANESHAMURTHI A,Dravida Munnetra Kazhagam,563591,MANIMARAN G,All India Anna Dravida Munnetra Kazhagam,352973,1067863,210618,19.72,safe
17th Lok Sabha,Tamil Nadu,Kallakurichi,Gautham Sigamani Pon,Dravida Munnetra Kazhagam,721713,Sudhish L K,Desiya Murpokku Dravida Kazhagam,321794,1204375,399919,33.21,safe
17th Lok Sabha,Tamil Nadu,Kancheepuram,Selvam.G,Dravida Munnetra Kazhagam,684004,Maragatham K,All India Anna Dravida Munnetra Kazhagam,397372,1237612,286632,23.16,safe
17th Lok Sabha,Tamil Nadu,Kanniyakumari,Vasanthakumar. H,Indian National Congress,627235,RADHAKRISHNAN. P,Bharatiya Janata Party,367302,1048377,259933,24.79,safe
17th Lok Sabha,Tamil Nadu,Karur,Jothimani S,Indian National Congress,695697,Thambidurai M,All India Anna Dravida Munnetra Kazhagam,275151,1103165,420546,38.12,safe
17th Lok Sabha,Tamil Nadu,Krishnagiri,Dr.A.CHELLAKUMAR,Indian National Congress,611298,K.P.MUNUSAMY,All India Anna Dravida Munnetra Kazhagam,454533,1161369,156765,13.5,competitive
17th Lok Sabha,Tamil Nadu,Madurai,VENKATESAN S,Communist Party of India  (Marxist),447075,RAJ SATYEN V.V.R,All India Anna Dravida Munnetra Kazhagam,307680,1016026,139395,13.72,competitive
17th Lok Sabha,Tamil Nadu,Mayiladuthurai,RAMALINGAM. S,Dravida Munnetra Kazhagam,599292,ASAIMANI. S,All India Anna Dravida Munnetra Kazhagam,337978,1097243,261314,23.82,safe
17th Lok Sabha,Tamil Nadu,Nagapattinam,SELVARAJ M,Communist Party of India,522892,SARAVANAN M,All India Anna Dravida Munnetra Kazhagam,311539,1002208,211353,21.09,safe
17th Lok Sabha,Tamil Nadu,Namakkal,CHINRAJ A.K.P,Dravida Munnetra Kazhagam,626293,KALIAPPAN P,All India Anna Dravida Munnetra Kazhagam,361142,1133774,265151,23.39,safe
17th Lok Sabha,Tamil Nadu,Nilgiris,"RAJA, A.",Dravida Munnetra Kazhagam,547832,"THIYAGARAJAN, M.",All India Anna Dravida Munnetra Kazhagam,342009,1010719,205823,20.36,safe
17th Lok Sabha,Tamil Nadu,Perambalur,"Dr.PAARIVENDHAR, T. R",Dravida Munnetra Kazhagam,683697,"SIVAPATHY, N.R",All India Anna Dravida Munnetra Kazhagam,280179,1102767,403518,36.59,safe
17th Lok Sabha,Tamil Nadu,Pollachi,SHANMUGA SUNDARAM. K,Dravida Munnetra Kazhagam,554230,MAHENDRAN. C,All India Anna Dravida Munnetra Kazhagam,378347,1081875,175883,16.26,safe
17th Lok Sabha,Tamil Nadu,Ramanathapuram,K. NAVASKANI,Indian Union Muslim League,469943,NAINAR NAGENTHRAN,Bharatiya Janata Party,342821,1066146,127122,11.92,competitive
17th Lok Sabha,Tamil Nadu,Salem,PARTHIBAN.S.R,Dravida Munnetra Kazhagam,606302,SARAVANAN.K.R.S,All India Anna Dravida Munnetra Kazhagam,459376,1255459,146926,11.7,competitive
17th Lok Sabha,Tamil Nadu,Sivaganga,KARTI P CHIDAMBARAM,Indian National Congress,566104,H.RAJA,Bharatiya Janata Party,233860,1084468,332244,30.64,safe
17th Lok Sabha,Tamil Nadu,Sriperumbudur,Baalu.T.R.,Dravida Munnetra Kazhagam,793281,Vaithilingam A,Pattali Makkal Katchi,285326,1406782,507955,36.11,safe
17th Lok Sabha,Tamil Nadu,Tenkasi,DHANUSH.M.KUMAR,Dravida Munnetra Kazhagam,476156,Dr.KRISHNASAMY.K,All India Anna Dravida Munnetra Kazhagam,355870,1065569,120286,11.29,competitive
17th Lok Sabha,Tamil Nadu,Thanjavur,"PALANIMANICKAM,S.S.",Dravida Munnetra Kazhagam,588978,"NATARAJAN,N.R .",Tamil Maanila Congress  (Moopanar),220849,1059223,368129,34.75,safe
17th Lok Sabha,Tamil Nadu,Theni,"RAVEENDRANATH KUMAR, P",All India Anna Dravida Munnetra Kazhagam,504813,"ELANGOVAN, E.V.K.S.",Indian National Congress,428120,1173489,76693,6.54,competitive
17th Lok Sabha,Tamil Nadu,Thiruvallur,Dr.K.Jayakumar,Indian National Congress,767292,Dr.P.Venugopal,All India Anna Dravida Munnetra Kazhagam,410337,1408189,356955,25.35,safe
17th Lok Sabha,Tamil Nadu,Thoothukkudi,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,563143,DR. TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,215934,991263,347209,35.03,safe
17th Lok Sabha,Tamil Nadu,Tiruchirappalli,Thirunavukkarasar. SU,Indian National Congress,621285,DR.Elangovan. V,Desiya Murpokku Dravida Kazhagam,161999,1048062,459286,43.82,safe
17th Lok Sabha,Tamil Nadu,Tirunelveli,GNANATHIRAVIAM S,Dravida Munnetra Kazhagam,522623,PAUL MANOJ PANDIAN,All India Anna Dravida Munnetra Kazhagam,337166,1039761,185457,17.84,safe
17th Lok Sabha,Tamil Nadu,Tiruppur,"SUBBARAYAN, K.",Communist Party of India,508725,"ANANDAN, M.S.M.",All India Anna Dravida Munnetra Kazhagam,415357,1119584,93368,8.34,competitive
17th Lok Sabha,Tamil Nadu,Tiruvannamalai,ANNADURAI C N,Dravida Munnetra Kazhagam,666272,AGRI KRISHNAMURTHY S S,All India Anna Dravida Munnetra Kazhagam,362085,1151729,304187,26.41,safe
17th Lok Sabha,Tamil Nadu,Viluppuram,RAVIKUMAR D,Dravida Munnetra Kazhagam,559585,VADIVEL RAVANAN S,Pattali Makkal Katchi,431517,1135540,128068,11.28,competitive
17th Lok Sabha,Tamil Nadu,Virudhunagar,"MANICKAM TAGORE, B.",Indian National Congress,470883,"ALAGARSAMY, R.",Desiya Murpokku Dravida Kazhagam,316329,1074735,154554,14.38,competitive
17th Lok Sabha,Telangana,Adilabad,SOYAM BAPU RAO,Bharatiya Janata Party,377374,Godam Nagesh,Telangana Rashtra Samithi,318814,1063730,58560,5.51,competitive
17th Lok Sabha,Telangana,Bhongir,Komati Reddy Venkat Reddy,Indian National Congress,532795,Dr. Boora Narsaiah Goud,Telangana Rashtra Samithi,527576,1212631,5219,0.43,marginal
17th Lok Sabha,Telangana,CHEVELLA,Dr. G. Ranjith Reddy,Telangana Rashtra Samithi,528148,Konda Vishweshwar Reddy,Indian National Congress,513831,1300194,14317,1.1,marginal
17th Lok Sabha,Telangana,Hyderabad,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,517471,Dr. BHAGAVANTH RAO,Bharatiya Janata Party,235285,877872,282186,32.14,safe
17th Lok Sabha,Telangana,Karimnagar,BANDI SANJAY KUMAR,Bharatiya Janata Party,498276,BOIANAPALLI VINOD KUMAR,Telangana Rashtra Samithi,408768,1147697,89508,7.8,competitive
17th Lok Sabha,Telangana,Khammam,NAMA NAGESWR RAO,Telangana Rashtra Samithi,567459,RENUKA CHOWDHURY,Indian National Congress,399397,1139831,168062,14.74,competitive
17th Lok Sabha,Telangana,Mahabubabad,Kavitha Malothu,Telangana Rashtra Samithi,462109,Balaram Naik Porika,Indian National Congress,315446,983535,146663,14.91,competitive
17th Lok Sabha,Telangana,Mahbubnagar,MANNE SRINIVAS REDDY,Telangana Rashtra Samithi,411402,ARUNA D.K,Bharatiya Janata Party,333573,984634,77829,7.9,competitive
17th Lok Sabha,Telangana,Malkajgiri,ANUMULA REVANTH REDDY,Indian National Congress,603748,RAJASHEKAR REDDY MARRI,Telangana Rashtra Samithi,592829,1563063,10919,0.7,marginal
17th Lok Sabha,Telangana,Medak,Kotha Prabhakar Reddy,Telangana Rashtra Samithi,596048,Anil Kumar Gali,Indian National Congress,279621,1150223,316427,27.51,safe
17th Lok Sabha,Telangana,Nagarkurnool,POTHUGANTI RAMULU,Telangana Rashtra Samithi,499672,DR MALLU RAVI,Indian National Congress,309924,989847,189748,19.17,safe
17th Lok Sabha,Telangana,Nalgonda,UTTAM KUMAR REDDY NALAMADA,Indian National Congress,526028,VEMIREDDY NARASIMHA REDDY,Telangana Rashtra Samithi,500346,1175703,25682,2.18,marginal
17th Lok Sabha,Telangana,Nizamabad,ARVIND DHARMAPURI,Bharatiya Janata Party,480584,KALVAKUNTLA KAVITHA,Telangana Rashtra Samithi,409709,1062768,70875,6.67,competitive
17th Lok Sabha,Telangana,Peddapalle,Venkatesh Netha Borlakunta,Telangana Rashtra Samithi,441321,Agam Chandrasekhar,Indian National Congress,346141,970051,95180,9.81,competitive
17th Lok Sabha,Telangana,Secundrabad,G . KISHAN REDDY,Bharatiya Janata Party,384780,TALASANI SAI KIRAN YADAV,Telangana Rashtra Samithi,322666,915106,62114,6.79,competitive
17th Lok Sabha,Telangana,Warangal,DAYAKAR PASUNOORI,Telangana Rashtra Samithi,612498,DOMMATI SAMBAIAH,Indian National Congress,262200,1061645,350298,33.0,safe
17th Lok Sabha,Telangana,Zahirabad,B.B.PATIL,Telangana Rashtra Samithi,434244,MADAN MOHAN RAO,Indian National Congress,428015,1044365,6229,0.6,marginal
17th Lok Sabha,Tripura,Tripura East,Rebati Tripura,Bharatiya Janata Party,482126,Maharaj kumari Pragya DebBurman,Indian National Congress,277836,1045417,204290,19.54,safe
17th Lok Sabha,Tripura,Tripura West,Pratima Bhoumik,Bharatiya Janata Party,573532,Subal Bhowmik,Indian National Congress,267843,1107755,305689,27.6,safe
17th Lok Sabha,Uttar Pradesh,Agra,Satyapal Singh Baghel,Bharatiya Janata Party,646875,Manoj Kumar Soni,Bahujan Samaj Party,435329,1145323,211546,18.47,safe
17th Lok Sabha,Uttar Pradesh,Akbarpur,Devendra Singh 'Bhole',Bharatiya Janata Party,581282,Nisha Sachan,Bahujan Samaj Party,306140,1025314,275142,26.83,safe
17th Lok Sabha,Uttar Pradesh,Aligarh,SATISH KUMAR GAUTAM,Bharatiya Janata Party,656215,DR. AJEET BALIYAN,Bahujan Samaj Party,426954,1163184,229261,19.71,safe
17th Lok Sabha,Uttar Pradesh,Allahabad,Rita Bahuguna Joshi,Bharatiya Janata Party,494454,Rajendra Singh Patel,Samajwadi Party,310179,889056,184275,20.73,safe
17th Lok Sabha,Uttar Pradesh,Ambedkar Nagar,Ritesh Pandey,Bahujan Samaj Party,564118,Mukut Bihari,Bharatiya Janata Party,468238,1090152,95880,8.8,competitive
17th Lok Sabha,Uttar Pradesh,Amethi,Smriti Irani,Bharatiya Janata Party,468514,Rahul Gandhi,Indian National Congress,413394,942453,55120,5.85,competitive
17th Lok Sabha,Uttar Pradesh,Amroha,KUNWAR DANISH ALI,Bahujan Samaj Party,601082,KANWAR SINGH TANWAR,Bharatiya Janata Party,537834,1169182,63248,5.41,competitive
17th Lok Sabha,Uttar Pradesh,Aonla,DHARMENDRA KASHYAP,Bharatiya Janata Party,537675,RUCHIVIRA,Bahujan Samaj Party,423932,1052795,113743,10.8,competitive
17th Lok Sabha,Uttar Pradesh,Azamgarh,Akhilesh Yadav,Samajwadi Party,621578,Dinesh Lal Yadav Nirahua,Bharatiya Janata Party,361704,1029112,259874,25.25,safe
17th Lok Sabha,Uttar Pradesh,Badaun,Dr. Sanghmitra Maurya,Bharatiya Janata Party,511352,Dharmendra Yadav,Samajwadi Party,492898,1081108,18454,1.71,marginal
17th Lok Sabha,Uttar Pradesh,Baghpat,Dr. SATYAPAL SINGH,Bharatiya Janata Party,525789,JAYANT CHAUDHARY,Rashtriya Lok Dal,502287,1044894,23502,2.25,marginal
17th Lok Sabha,Uttar Pradesh,Bahraich,AKSHAIBAR LAL,Bharatiya Janata Party,525982,SHABBIR BALMIKI,Samajwadi Party,397230,989848,128752,13.01,competitive
17th Lok Sabha,Uttar Pradesh,Ballia,Virendra Singh,Bharatiya Janata Party,469114,Sanatan Pandey,Samajwadi Party,453595,989732,15519,1.57,marginal
17th Lok Sabha,Uttar Pradesh,Banda,R.K. SINGH PATEL,Bharatiya Janata Party,477926,SHYAMA CHARAN GUPTA,Samajwadi Party,418988,1034549,58938,5.7,competitive
17th Lok Sabha,Uttar Pradesh,Bansgaon,Kamlesh Paswan,Bharatiya Janata Party,546673,Sadal Prasad,Bahujan Samaj Party,393205,969136,153468,15.84,safe
17th Lok Sabha,Uttar Pradesh,Barabanki,Upendra Singh Rawat,Bharatiya Janata Party,535917,Ram Sagar Rawat,Samajwadi Party,425777,1155341,110140,9.53,competitive
17th Lok Sabha,Uttar Pradesh,Bareilly,SANTOSH KUMAR GANGWAR,Bharatiya Janata Party,565270,BHAGWAT SARAN GANGWAR,Samajwadi Party,397988,1068342,167282,15.66,safe
17th Lok Sabha,Uttar Pradesh,Basti,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,471162,RAM PRASAD CHAUDHARY,Bahujan Samaj Party,440808,1054539,30354,2.88,marginal
17th Lok Sabha,Uttar Pradesh,Bhadohi,RAMESH CHAND,Bharatiya Janata Party,510029,RANGNATH MISHRA,Bahujan Samaj Party,466414,1039390,43615,4.2,marginal
17th Lok Sabha,Uttar Pradesh,Bijnor,MALOOK NAGAR,Bahujan Samaj Party,561045,RAJA BHARATENDRA SINGH,Bharatiya Janata Party,491104,1100763,69941,6.35,competitive
17th Lok Sabha,Uttar Pradesh,Bulandshahr,BHOLA SINGH,Bharatiya Janata Party,681321,YOGESH VERMA,Bahujan Samaj Party,391264,1123629,290057,25.81,safe
17th Lok Sabha,Uttar Pradesh,Chandauli,Dr. Mahendra Nath Pandey,Bharatiya Janata Party,510733,Sanjay Singh Chauhan,Samajwadi Party,496774,1084961,13959,1.29,marginal
